,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,opp formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
1,2024-08-25,15:30,Bundesliga,Matchweek 1,Sun,Away,W,3.0,2.0,Wolfsburg,2.4,1.9,70.0,30000.0,Manuel Neuer,4-2-3-1,4-2-3-1,,Match Report,,15.0,8.0,11.1,0.0,0,0,2025,Bayern Munich
2,2024-09-01,17:30,Bundesliga,Matchweek 2,Sun,Home,W,2.0,0.0,Freiburg,1.5,1.0,66.0,75000.0,Manuel Neuer,4-1-4-1,4-2-3-1,Christian Dingert,Match Report,,11.0,2.0,16.0,0.0,1,1,2025,Bayern Munich
3,2024-09-14,18:30,Bundesliga,Matchweek 3,Sat,Away,W,6.0,1.0,Holstein Kiel,3.2,0.3,70.0,15034.0,Manuel Neuer,4-2-3-1,4-3-3,Tobias Reichel,Match Report,,22.0,11.0,15.9,0.0,1,1,2025,Bayern Munich
5,2024-09-21,15:30,Bundesliga,Matchweek 4,Sat,Away,W,5.0,0.0,Werder Bremen,3.0,0.0,69.0,42100.0,Joshua Kimmich,4-2-3-1,3-5-2,Bastian Dankert,Match Report,,25.0,7.0,17.3,1.0,0,0,2025,Bayern Munich
6,2024-09-28,18:30,Bundesliga,Matchweek 5,Sat,Home,D,1.0,1.0,Leverkusen,1.4,0.1,69.0,75000.0,Manuel Neuer,4-2-3-1,3-4-3,Felix Zwayer,Match Report,,18.0,3.0,19.3,1.0,0,0,2025,Bayern Munich
8,2024-10-06,17:30,Bundesliga,Matchweek 6,Sun,Away,D,3.0,3.0,Eint Frankfurt,2.2,1.2,74.0,58000.0,Manuel Neuer,4-2-3-1,4-4-2,Benjamin Brand,Match Report,,24.0,13.0,17.5,2.0,0,0,2025,Bayern Munich
9,2024-10-19,18:30,Bundesliga,Matchweek 7,Sat,Home,W,4.0,0.0,Stuttgart,3.2,0.5,65.0,75000.0,Manuel Neuer,4-2-3-1,4-2-3-1,Tobias Stieler,Match Report,,22.0,10.0,15.9,0.0,0,0,2025,Bayern Munich
11,2024-10-27,15:30,Bundesliga,Matchweek 8,Sun,Away,W,5.0,0.0,Bochum,2.2,0.6,72.0,26000.0,Manuel Neuer,4-2-3-1,3-5-2,Florian Exner,Match Report,,19.0,10.0,17.0,1.0,0,0,2025,Bayern Munich
13,2024-11-02,15:30,Bundesliga,Matchweek 9,Sat,Home,W,3.0,0.0,Union Berlin,2.5,0.5,77.0,75000.0,Manuel Neuer,4-2-3-1,3-4-3,Matthias Jöllenbeck,Match Report,,15.0,6.0,16.6,0.0,1,1,2025,Bayern Munich
15,2024-11-09,15:30,Bundesliga,Matchweek 10,Sat,Away,W,1.0,0.0,St. Pauli,0.8,0.1,75.0,29546.0,Manuel Neuer,4-2-3-1,5-4-1,Timo Gerach,Match Report,,13.0,6.0,19.0,0.0,0,0,2025,Bayern Munich
16,2024-11-22,20:30,Bundesliga,Matchweek 11,Fri,Home,W,3.0,0.0,Augsburg,3.7,0.1,80.0,75000.0,Manuel Neuer,4-2-3-1,3-5-2,Daniel Schlager,Match Report,,31.0,12.0,18.1,1.0,2,2,2025,Bayern Munich
18,2024-11-30,18:30,Bundesliga,Matchweek 12,Sat,Away,D,1.0,1.0,Dortmund,1.5,0.6,67.0,81365.0,Manuel Neuer,4-2-3-1,4-2-3-1,Sven Jablonski,Match Report,,14.0,5.0,19.4,2.0,0,0,2025,Bayern Munich
20,2024-12-07,15:30,Bundesliga,Matchweek 13,Sat,Home,W,4.0,2.0,Heidenheim,2.4,1.3,82.0,75000.0,Thomas Müller,4-2-3-1,5-3-2,Sören Storks,Match Report,,21.0,10.0,15.8,0.0,0,0,2025,Bayern Munich
22,2024-12-14,15:30,Bundesliga,Matchweek 14,Sat,Away,L,1.0,2.0,Mainz 05,1.4,1.0,68.0,33305.0,Thomas Müller,4-2-3-1,3-4-3,Frank Willenborg,Match Report,,13.0,1.0,16.2,0.0,0,0,2025,Bayern Munich
23,2024-12-20,20:30,Bundesliga,Matchweek 15,Fri,Home,W,5.0,1.0,RB Leipzig,3.3,0.4,71.0,75000.0,Joshua Kimmich,4-2-3-1,5-3-2,Daniel Siebert,Match Report,,22.0,9.0,14.6,1.0,0,0,2025,Bayern Munich
1,2024-08-23,20:30,Bundesliga,Matchweek 1,Fri,Away,W,3,2,Gladbach,2.7,1.6,57.0,54042.0,Lukáš Hrádecký,3-4-3,4-2-3-1,,Match Report,,24.0,9.0,18.3,1.0,0,1,2025,Bayer Leverkusen
3,2024-08-31,18:30,Bundesliga,Matchweek 2,Sat,Home,L,2,3,RB Leipzig,2.2,1.1,62.0,29615.0,Jonathan Tah,3-4-3,3-4-3,Matthias Jöllenbeck,Match Report,,26.0,10.0,15.6,0.0,0,0,2025,Bayer Leverkusen
4,2024-09-14,15:30,Bundesliga,Matchweek 3,Sat,Away,W,4,1,Hoffenheim,3.5,0.9,60.0,30150.0,Lukáš Hrádecký,3-4-3,3-4-1-2,Daniel Schlager,Match Report,,19.0,6.0,15.8,1.0,1,1,2025,Bayer Leverkusen
6,2024-09-22,15:30,Bundesliga,Matchweek 4,Sun,Home,W,4,3,Wolfsburg,1.9,0.7,78.0,29250.0,Lukáš Hrádecký,3-4-3,4-1-4-1,Sascha Stegemann,Match Report,,20.0,7.0,16.3,0.0,0,0,2025,Bayer Leverkusen
7,2024-09-28,18:30,Bundesliga,Matchweek 5,Sat,Away,D,1,1,Bayern Munich,0.1,1.4,31.0,75000.0,Lukáš Hrádecký,3-4-3,4-2-3-1,Felix Zwayer,Match Report,,3.0,2.0,40.5,0.0,0,0,2025,Bayer Leverkusen
9,2024-10-05,15:30,Bundesliga,Matchweek 6,Sat,Home,D,2,2,Holstein Kiel,2.1,1.6,74.0,30210.0,Lukáš Hrádecký,3-4-3,3-5-2,Robert Hartmann,Match Report,,23.0,7.0,18.3,0.0,0,0,2025,Bayer Leverkusen
10,2024-10-19,15:30,Bundesliga,Matchweek 7,Sat,Home,W,2,1,Eint Frankfurt,3.8,1.9,54.0,30210.0,Lukáš Hrádecký,3-4-3,4-4-2,Felix Brych,Match Report,,26.0,8.0,17.4,0.0,0,1,2025,Bayer Leverkusen
12,2024-10-26,18:30,Bundesliga,Matchweek 8,Sat,Away,D,2,2,Werder Bremen,1.3,1.6,57.0,,Lukáš Hrádecký,3-4-3,3-4-3,Florian Badstübner,Match Report,,14.0,5.0,15.2,1.0,0,0,2025,Bayer Leverkusen
14,2024-11-01,20:30,Bundesliga,Matchweek 9,Fri,Home,D,0,0,Stuttgart,2.2,0.3,53.0,30210.0,Lukáš Hrádecký,3-4-3,4-4-2,Daniel Siebert,Match Report,,19.0,5.0,13.4,0.0,0,0,2025,Bayer Leverkusen
16,2024-11-09,15:30,Bundesliga,Matchweek 10,Sat,Away,D,1,1,Bochum,1.2,0.7,70.0,26000.0,Lukáš Hrádecký,3-4-3,5-4-1,Robert Hartmann,Match Report,,11.0,3.0,16.4,0.0,0,0,2025,Bayer Leverkusen
17,2024-11-23,15:30,Bundesliga,Matchweek 11,Sat,Home,W,5,2,Heidenheim,2.2,1.1,78.0,29103.0,Lukáš Hrádecký,3-4-3,4-3-1-2,Bastian Dankert,Match Report,,20.0,10.0,17.8,0.0,0,0,2025,Bayer Leverkusen
19,2024-11-30,15:30,Bundesliga,Matchweek 12,Sat,Away,W,2,1,Union Berlin,0.9,0.7,62.0,22012.0,Lukáš Hrádecký,4-5-1,3-4-3,Christian Dingert,Match Report,,8.0,3.0,16.2,1.0,0,0,2025,Bayer Leverkusen
21,2024-12-07,15:30,Bundesliga,Matchweek 13,Sat,Home,W,2,1,St. Pauli,0.9,1.8,62.0,30210.0,Lukáš Hrádecký,3-5-2,3-4-3,Matthias Jöllenbeck,Match Report,,6.0,2.0,18.6,1.0,0,0,2025,Bayer Leverkusen
23,2024-12-14,15:30,Bundesliga,Matchweek 14,Sat,Away,W,2,0,Augsburg,0.8,0.6,65.0,29310.0,Lukáš Hrádecký,3-4-3,3-1-4-2,Felix Zwayer,Match Report,,14.0,3.0,22.1,3.0,0,0,2025,Bayer Leverkusen
1,2024-08-24,18:30,Bundesliga,Matchweek 1,Sat,Away,L,0.0,2.0,Dortmund,1.4,1.7,31.0,81365.0,Kevin Trapp,4-2-3-1,3-4-3,,Match Report,,7.0,2.0,17.0,0.0,0,0,2025,Eintracht Frankfurt
2,2024-08-31,15:30,Bundesliga,Matchweek 2,Sat,Home,W,3.0,1.0,Hoffenheim,2.4,1.0,50.0,57100.0,Kevin Trapp,3-4-3,3-4-1-2,Florian Badstübner,Match Report,,18.0,7.0,15.5,0.0,0,0,2025,Eintracht Frankfurt
3,2024-09-14,15:30,Bundesliga,Matchweek 3,Sat,Away,W,2.0,1.0,Wolfsburg,2.5,1.5,40.0,26281.0,Kevin Trapp,4-4-2,4-1-4-1,Harm Osmers,Match Report,,13.0,5.0,16.4,0.0,1,1,2025,Eintracht Frankfurt
4,2024-09-21,18:30,Bundesliga,Matchweek 4,Sat,Home,W,2.0,0.0,Gladbach,2.7,1.7,37.0,58000.0,Robin Koch,4-4-2,4-2-3-1,Tobias Welz,Match Report,,18.0,4.0,16.2,2.0,0,0,2025,Eintracht Frankfurt
6,2024-09-29,15:30,Bundesliga,Matchweek 5,Sun,Away,W,4.0,2.0,Holstein Kiel,2.1,1.1,53.0,15034.0,Robin Koch,4-2-3-1,3-5-2,Tobias Stieler,Match Report,,20.0,10.0,14.6,0.0,0,0,2025,Eintracht Frankfurt
8,2024-10-06,17:30,Bundesliga,Matchweek 6,Sun,Home,D,3.0,3.0,Bayern Munich,1.2,2.2,26.0,58000.0,Robin Koch,4-4-2,4-2-3-1,Benjamin Brand,Match Report,,6.0,4.0,16.9,0.0,0,0,2025,Eintracht Frankfurt
9,2024-10-19,15:30,Bundesliga,Matchweek 7,Sat,Away,L,1.0,2.0,Leverkusen,1.9,3.8,46.0,30210.0,Kevin Trapp,4-4-2,3-4-3,Felix Brych,Match Report,,8.0,0.0,18.8,0.0,1,1,2025,Eintracht Frankfurt
11,2024-10-27,17:30,Bundesliga,Matchweek 8,Sun,Away,D,1.0,1.0,Union Berlin,1.5,1.4,52.0,22012.0,Kevin Trapp,3-5-2,3-4-3,Harm Osmers,Match Report,,17.0,5.0,17.4,1.0,0,0,2025,Eintracht Frankfurt
13,2024-11-02,15:30,Bundesliga,Matchweek 9,Sat,Home,W,7.0,2.0,Bochum,3.5,1.8,64.0,58000.0,Kevin Trapp,4-4-2,4-4-2,Daniel Schlager,Match Report,,18.0,9.0,17.0,2.0,0,0,2025,Eintracht Frankfurt
15,2024-11-10,17:30,Bundesliga,Matchweek 10,Sun,Away,W,3.0,2.0,Stuttgart,1.3,2.5,40.0,60000.0,Kevin Trapp,4-4-2,4-2-3-1,Felix Zwayer,Match Report,,8.0,5.0,16.6,1.0,0,0,2025,Eintracht Frankfurt
16,2024-11-23,18:30,Bundesliga,Matchweek 11,Sat,Home,W,1.0,0.0,Werder Bremen,1.1,0.4,50.0,58000.0,Kevin Trapp,4-4-2,3-4-3,Florian Badstübner,Match Report,,15.0,5.0,19.6,0.0,0,0,2025,Eintracht Frankfurt
18,2024-12-01,17:30,Bundesliga,Matchweek 12,Sun,Away,W,4.0,0.0,Heidenheim,2.6,0.7,54.0,15000.0,Kevin Trapp,4-4-2,3-4-3,Florian Exner,Match Report,,14.0,8.0,17.2,0.0,0,0,2025,Eintracht Frankfurt
20,2024-12-07,15:30,Bundesliga,Matchweek 13,Sat,Home,D,2.0,2.0,Augsburg,1.7,0.6,66.0,57000.0,Kevin Trapp,4-2-2-2,3-5-2,Bastian Dankert,Match Report,,16.0,4.0,16.0,0.0,0,0,2025,Eintracht Frankfurt
22,2024-12-15,19:30,Bundesliga,Matchweek 14,Sun,Away,L,1.0,2.0,RB Leipzig,0.9,1.9,56.0,40193.0,Kevin Trapp,3-4-3,5-3-2,Benjamin Brand,Match Report,,16.0,3.0,16.9,1.0,0,0,2025,Eintracht Frankfurt
1,2024-08-24,15:30,Bundesliga,Matchweek 1,Sat,Home,W,1.0,0.0,Bochum,1.3,1.0,62.0,44611.0,Willi Orban,4-2-2-2,4-1-2-1-2,,Match Report,,13.0,3.0,14.7,0.0,0,0,2025,RB Leipzig
2,2024-08-31,18:30,Bundesliga,Matchweek 2,Sat,Away,W,3.0,2.0,Leverkusen,1.1,2.2,38.0,29615.0,Péter Gulácsi,3-4-3,3-4-3,Matthias Jöllenbeck,Match Report,,8.0,4.0,18.2,0.0,0,0,2025,RB Leipzig
3,2024-09-14,15:30,Bundesliga,Matchweek 3,Sat,Home,D,0.0,0.0,Union Berlin,1.3,0.6,67.0,47800.0,Péter Gulácsi,3-4-3,3-4-3,Sven Jablonski,Match Report,,14.0,2.0,21.5,1.0,0,1,2025,RB Leipzig
5,2024-09-22,19:30,Bundesliga,Matchweek 4,Sun,Away,D,0.0,0.0,St. Pauli,0.7,1.4,69.0,29251.0,Willi Orban,4-4-2,3-4-3,Robert Hartmann,Match Report,,10.0,5.0,15.4,0.0,0,0,2025,RB Leipzig
6,2024-09-28,15:30,Bundesliga,Matchweek 5,Sat,Home,W,4.0,0.0,Augsburg,3.0,1.1,59.0,44407.0,Willi Orban,4-4-2,3-4-3,Daniel Siebert,Match Report,,17.0,6.0,14.0,0.0,0,0,2025,RB Leipzig
8,2024-10-06,15:30,Bundesliga,Matchweek 6,Sun,Away,W,1.0,0.0,Heidenheim,1.4,1.0,55.0,15000.0,Willi Orban,4-2-2-2,3-4-1-2,Sascha Stegemann,Match Report,,13.0,2.0,18.6,0.0,0,0,2025,RB Leipzig
9,2024-10-19,15:30,Bundesliga,Matchweek 7,Sat,Away,W,2.0,0.0,Mainz 05,1.9,0.6,47.0,30100.0,Willi Orban,3-4-3,3-4-3,Felix Zwayer,Match Report,,11.0,5.0,16.1,0.0,0,0,2025,RB Leipzig
11,2024-10-26,15:30,Bundesliga,Matchweek 8,Sat,Home,W,3.0,1.0,Freiburg,1.8,1.7,43.0,45908.0,Willi Orban,4-2-2-2,4-2-3-1,Sven Jablonski,Match Report,,12.0,9.0,13.4,0.0,0,0,2025,RB Leipzig
13,2024-11-02,18:30,Bundesliga,Matchweek 9,Sat,Away,L,1.0,2.0,Dortmund,0.5,2.0,43.0,81365.0,Willi Orban,4-4-2,4-1-4-1,Tobias Stieler,Match Report,,7.0,2.0,18.8,0.0,0,0,2025,RB Leipzig
15,2024-11-09,18:30,Bundesliga,Matchweek 10,Sat,Home,D,0.0,0.0,Gladbach,1.0,0.9,61.0,46887.0,Willi Orban,3-4-3,4-2-3-1,Christian Dingert,Match Report,,12.0,5.0,16.2,0.0,0,0,2025,RB Leipzig
16,2024-11-23,15:30,Bundesliga,Matchweek 11,Sat,Away,L,3.0,4.0,Hoffenheim,1.6,2.0,41.0,28023.0,Willi Orban,3-4-3,4-2-3-1,Frank Willenborg,Match Report,,14.0,6.0,15.5,1.0,0,0,2025,RB Leipzig
18,2024-11-30,15:30,Bundesliga,Matchweek 12,Sat,Home,L,1.0,5.0,Wolfsburg,1.0,2.2,63.0,40000.0,Willi Orban,4-4-2,4-3-3,Martin Petersen,Match Report,,9.0,4.0,18.6,0.0,0,0,2025,RB Leipzig
20,2024-12-07,15:30,Bundesliga,Matchweek 13,Sat,Away,W,2.0,0.0,Holstein Kiel,1.6,1.2,44.0,14715.0,Willi Orban,3-5-2,3-5-2,Florian Badstübner,Match Report,,8.0,4.0,16.7,0.0,1,1,2025,RB Leipzig
22,2024-12-15,19:30,Bundesliga,Matchweek 14,Sun,Home,W,2.0,1.0,Eint Frankfurt,1.9,0.9,44.0,40193.0,Willi Orban,5-3-2,3-4-3,Benjamin Brand,Match Report,,19.0,9.0,16.2,1.0,0,0,2025,RB Leipzig
23,2024-12-20,20:30,Bundesliga,Matchweek 15,Fri,Away,L,1.0,5.0,Bayern Munich,0.4,3.3,29.0,75000.0,Willi Orban,5-3-2,4-2-3-1,Daniel Siebert,Match Report,,4.0,1.0,11.4,0.0,0,0,2025,RB Leipzig
1,2024-08-24,15:30,Bundesliga,Matchweek 1,Sat,Home,W,3.0,1.0,Stuttgart,2.1,0.4,33.0,34700.0,Christian Günter,4-2-3-1,4-2-3-1,,Match Report,,16.0,5.0,16.4,1.0,0,0,2025,Freiburg
2,2024-09-01,17:30,Bundesliga,Matchweek 2,Sun,Away,L,0.0,2.0,Bayern Munich,1.0,1.5,34.0,75000.0,Christian Günter,4-2-3-1,4-1-4-1,Christian Dingert,Match Report,,8.0,3.0,26.8,0.0,0,1,2025,Freiburg
3,2024-09-14,15:30,Bundesliga,Matchweek 3,Sat,Home,W,2.0,1.0,Bochum,3.7,0.9,54.0,34100.0,Christian Günter,4-2-3-1,4-4-2,Daniel Siebert,Match Report,,26.0,8.0,14.4,0.0,0,0,2025,Freiburg
4,2024-09-21,15:30,Bundesliga,Matchweek 4,Sat,Away,W,3.0,0.0,Heidenheim,1.4,0.7,58.0,15000.0,Christian Günter,4-2-3-1,3-1-4-2,Benjamin Brand,Match Report,,15.0,5.0,16.8,0.0,0,0,2025,Freiburg
5,2024-09-28,15:30,Bundesliga,Matchweek 5,Sat,Home,L,0.0,3.0,St. Pauli,1.2,1.1,73.0,34700.0,Christian Günter,4-2-3-1,3-4-3,Timo Gerach,Match Report,,8.0,1.0,16.9,1.0,0,1,2025,Freiburg
6,2024-10-05,15:30,Bundesliga,Matchweek 6,Sat,Away,W,1.0,0.0,Werder Bremen,1.0,1.0,42.0,41200.0,Christian Günter,4-2-3-1,3-4-3,Tobias Welz,Match Report,,15.0,3.0,20.6,0.0,0,0,2025,Freiburg
7,2024-10-19,15:30,Bundesliga,Matchweek 7,Sat,Home,W,3.0,1.0,Augsburg,0.8,0.6,57.0,33500.0,Christian Günter,4-2-3-1,3-5-2,Bastian Dankert,Match Report,,15.0,6.0,19.8,0.0,0,0,2025,Freiburg
8,2024-10-26,15:30,Bundesliga,Matchweek 8,Sat,Away,L,1.0,3.0,RB Leipzig,1.7,1.8,57.0,45908.0,Christian Günter,4-2-3-1,4-2-2-2,Sven Jablonski,Match Report,,15.0,5.0,18.0,2.0,0,0,2025,Freiburg
10,2024-11-03,15:30,Bundesliga,Matchweek 9,Sun,Home,D,0.0,0.0,Mainz 05,0.8,0.5,51.0,34400.0,Christian Günter,4-2-3-1,3-4-3,Benjamin Brand,Match Report,,10.0,2.0,19.7,0.0,0,0,2025,Freiburg
11,2024-11-08,20:30,Bundesliga,Matchweek 10,Fri,Away,D,0.0,0.0,Union Berlin,1.7,0.7,59.0,,Christian Günter,4-2-3-1,3-4-3,Tobias Reichel,Match Report,,13.0,3.0,19.8,0.0,0,1,2025,Freiburg
12,2024-11-23,15:30,Bundesliga,Matchweek 11,Sat,Away,L,0.0,4.0,Dortmund,0.8,1.3,41.0,81365.0,Christian Günter,4-2-3-1,4-1-4-1,Felix Brych,Match Report,,7.0,2.0,18.1,0.0,0,0,2025,Freiburg
13,2024-11-30,15:30,Bundesliga,Matchweek 12,Sat,Home,W,3.0,1.0,Gladbach,1.6,1.5,48.0,34700.0,Christian Günter,4-2-3-1,4-2-3-1,Robert Hartmann,Match Report,,17.0,7.0,16.5,1.0,0,0,2025,Freiburg
15,2024-12-08,17:30,Bundesliga,Matchweek 13,Sun,Away,D,1.0,1.0,Hoffenheim,1.0,1.4,50.0,22027.0,Christian Günter,4-4-2,4-2-3-1,Sven Jablonski,Match Report,,11.0,4.0,15.1,0.0,0,0,2025,Freiburg
16,2024-12-13,20:30,Bundesliga,Matchweek 14,Fri,Home,W,3.0,2.0,Wolfsburg,2.1,1.8,53.0,32600.0,Christian Günter,4-2-2-2,4-4-2,Sascha Stegemann,Match Report,,18.0,9.0,14.9,0.0,0,0,2025,Freiburg
1,2024-08-24,15:30,Bundesliga,Matchweek 1,Sat,Away,L,1,3,Freiburg,0.4,2.1,67.0,34700.0,Atakan Karazor,4-2-3-1,4-2-3-1,,Match Report,,9.0,2.0,23.7,1.0,0,0,2025,Stuttgart
3,2024-08-31,15:30,Bundesliga,Matchweek 2,Sat,Home,D,3,3,Mainz 05,3.8,2.3,63.0,59000.0,Atakan Karazor,4-2-3-1,3-4-3,Timo Gerach,Match Report,,28.0,11.0,14.9,2.0,0,0,2025,Stuttgart
4,2024-09-14,15:30,Bundesliga,Matchweek 3,Sat,Away,W,3,1,Gladbach,2.2,1.6,56.0,,Atakan Karazor,4-2-2-2,4-2-3-1,Felix Brych,Match Report,,12.0,7.0,14.3,0.0,0,0,2025,Stuttgart
6,2024-09-22,17:30,Bundesliga,Matchweek 4,Sun,Home,W,5,1,Dortmund,3.4,0.7,52.0,60000.0,Atakan Karazor,4-4-2,4-2-3-1,Florian Badstübner,Match Report,,17.0,9.0,14.8,0.0,0,0,2025,Stuttgart
7,2024-09-28,15:30,Bundesliga,Matchweek 5,Sat,Away,D,2,2,Wolfsburg,1.8,1.1,69.0,27135.0,Atakan Karazor,4-2-3-1,4-4-2,Sven Jablonski,Match Report,,17.0,3.0,18.9,1.0,0,1,2025,Stuttgart
9,2024-10-06,19:30,Bundesliga,Matchweek 6,Sun,Home,D,1,1,Hoffenheim,1.9,0.9,67.0,58000.0,Atakan Karazor,3-5-2,3-4-1-2,Harm Osmers,Match Report,,19.0,5.0,15.1,0.0,0,1,2025,Stuttgart
10,2024-10-19,18:30,Bundesliga,Matchweek 7,Sat,Away,L,0,4,Bayern Munich,0.5,3.2,35.0,75000.0,Atakan Karazor,4-2-3-1,4-2-3-1,Tobias Stieler,Match Report,,4.0,1.0,17.7,0.0,0,0,2025,Stuttgart
12,2024-10-26,15:30,Bundesliga,Matchweek 8,Sat,Home,W,2,1,Holstein Kiel,1.6,0.5,58.0,59000.0,Deniz Undav,4-4-2,3-5-2,Robert Hartmann,Match Report,,16.0,6.0,17.8,0.0,0,0,2025,Stuttgart
14,2024-11-01,20:30,Bundesliga,Matchweek 9,Fri,Away,D,0,0,Leverkusen,0.3,2.2,47.0,30210.0,Atakan Karazor,4-4-2,3-4-3,Daniel Siebert,Match Report,,4.0,1.0,20.5,0.0,0,0,2025,Stuttgart
16,2024-11-10,17:30,Bundesliga,Matchweek 10,Sun,Home,L,2,3,Eint Frankfurt,2.5,1.3,60.0,60000.0,Atakan Karazor,4-2-3-1,4-4-2,Felix Zwayer,Match Report,,21.0,9.0,16.6,0.0,0,1,2025,Stuttgart
17,2024-11-23,15:30,Bundesliga,Matchweek 11,Sat,Home,W,2,0,Bochum,1.7,0.7,58.0,59000.0,Atakan Karazor,4-4-2,5-3-2,Benjamin Brand,Match Report,,15.0,4.0,15.7,0.0,0,0,2025,Stuttgart
19,2024-11-30,15:30,Bundesliga,Matchweek 12,Sat,Away,D,2,2,Werder Bremen,1.8,1.6,57.0,42100.0,Atakan Karazor,4-2-3-1,4-4-2,Harm Osmers,Match Report,,10.0,4.0,17.7,0.0,0,0,2025,Stuttgart
21,2024-12-06,20:30,Bundesliga,Matchweek 13,Fri,Home,W,3,2,Union Berlin,2.1,1.4,64.0,59000.0,Atakan Karazor,4-2-3-1,3-4-3,Tobias Welz,Match Report,,7.0,5.0,17.7,0.0,0,0,2025,Stuttgart
23,2024-12-15,15:30,Bundesliga,Matchweek 14,Sun,Away,W,3,1,Heidenheim,2.3,1.0,66.0,15000.0,Atakan Karazor,3-4-3,4-2-3-1,Christian Dingert,Match Report,,17.0,6.0,18.1,2.0,1,1,2025,Stuttgart
1,2024-08-24,15:30,Bundesliga,Matchweek 1,Sat,Home,D,1.0,1.0,Union Berlin,1.2,0.6,53.0,31500.0,Jonathan Burkardt,3-4-3,3-4-3,,Match Report,,14.0,3.0,15.4,1.0,0,0,2025,Mainz 05
2,2024-08-31,15:30,Bundesliga,Matchweek 2,Sat,Away,D,3.0,3.0,Stuttgart,2.3,3.8,37.0,59000.0,Jonathan Burkardt,3-4-3,4-2-3-1,Timo Gerach,Match Report,,10.0,6.0,21.6,1.0,1,1,2025,Mainz 05
3,2024-09-15,17:30,Bundesliga,Matchweek 3,Sun,Home,L,1.0,2.0,Werder Bremen,1.1,1.6,58.0,32000.0,Jonathan Burkardt,3-4-3,3-4-3,Benjamin Brand,Match Report,,16.0,5.0,16.9,1.0,0,0,2025,Mainz 05
4,2024-09-20,20:30,Bundesliga,Matchweek 4,Fri,Away,W,3.0,2.0,Augsburg,1.0,2.4,27.0,28913.0,Jonathan Burkardt,3-4-3,3-4-3,Sören Storks,Match Report,,5.0,3.0,11.4,0.0,0,0,2025,Mainz 05
5,2024-09-28,15:30,Bundesliga,Matchweek 5,Sat,Home,L,0.0,2.0,Heidenheim,0.6,1.2,50.0,31500.0,Silvan Widmer,3-4-3,4-2-3-1,Florian Exner,Match Report,,7.0,1.0,17.9,1.0,0,0,2025,Mainz 05
6,2024-10-05,18:30,Bundesliga,Matchweek 6,Sat,Away,W,3.0,0.0,St. Pauli,1.1,1.0,44.0,29546.0,Jonathan Burkardt,3-4-3,3-4-3,Christian Dingert,Match Report,,8.0,4.0,21.4,0.0,0,0,2025,Mainz 05
7,2024-10-19,15:30,Bundesliga,Matchweek 7,Sat,Home,L,0.0,2.0,RB Leipzig,0.6,1.9,53.0,30100.0,Jonathan Burkardt,3-4-3,3-4-3,Felix Zwayer,Match Report,,17.0,2.0,18.1,0.0,0,0,2025,Mainz 05
8,2024-10-25,20:30,Bundesliga,Matchweek 8,Fri,Home,D,1.0,1.0,Gladbach,1.7,0.7,52.0,33000.0,Jonathan Burkardt,3-4-3,4-2-3-1,Martin Petersen,Match Report,,23.0,6.0,19.2,0.0,0,0,2025,Mainz 05
10,2024-11-03,15:30,Bundesliga,Matchweek 9,Sun,Away,D,0.0,0.0,Freiburg,0.5,0.8,49.0,34400.0,Jonathan Burkardt,3-4-3,4-2-3-1,Benjamin Brand,Match Report,,9.0,2.0,17.0,0.0,0,0,2025,Mainz 05
11,2024-11-09,15:30,Bundesliga,Matchweek 10,Sat,Home,W,3.0,1.0,Dortmund,2.0,0.9,53.0,33000.0,Jonathan Burkardt,3-4-3,4-1-4-1,Florian Badstübner,Match Report,,13.0,9.0,13.4,0.0,0,0,2025,Mainz 05
12,2024-11-24,15:30,Bundesliga,Matchweek 11,Sun,Away,W,3.0,0.0,Holstein Kiel,2.2,0.4,62.0,14906.0,Jonathan Burkardt,3-4-3,3-1-4-2,Sascha Stegemann,Match Report,,17.0,6.0,18.0,1.0,1,1,2025,Mainz 05
13,2024-12-01,15:30,Bundesliga,Matchweek 12,Sun,Home,W,2.0,0.0,Hoffenheim,2.2,0.4,52.0,30400.0,Jonathan Burkardt,3-4-3,4-2-3-1,Daniel Siebert,Match Report,,18.0,8.0,14.8,0.0,0,0,2025,Mainz 05
14,2024-12-08,15:30,Bundesliga,Matchweek 13,Sun,Away,L,3.0,4.0,Wolfsburg,2.6,1.2,56.0,20036.0,Jonathan Burkardt,3-4-3,4-4-2,Timo Gerach,Match Report,,12.0,5.0,13.1,1.0,0,0,2025,Mainz 05
15,2024-12-14,15:30,Bundesliga,Matchweek 14,Sat,Home,W,2.0,1.0,Bayern Munich,1.0,1.4,32.0,33305.0,Jonathan Burkardt,3-4-3,4-2-3-1,Frank Willenborg,Match Report,,8.0,4.0,15.1,0.0,0,0,2025,Mainz 05
1,2024-08-24,18:30,Bundesliga,Matchweek 1,Sat,Home,W,2.0,0.0,Eint Frankfurt,1.7,1.4,69.0,81365.0,Emre Can,3-4-3,4-2-3-1,,Match Report,,20.0,5.0,17.2,0.0,0,0,2025,Dortmund
2,2024-08-31,15:30,Bundesliga,Matchweek 2,Sat,Away,D,0.0,0.0,Werder Bremen,0.6,0.3,53.0,42100.0,Emre Can,4-2-3-1,3-4-3,Robert Hartmann,Match Report,,9.0,4.0,20.2,0.0,0,0,2025,Dortmund
